"name","label","region"
"Dedza","Dedza","Central"
"Dowa","Dowa","Central"
"Kasungu","Kasungu","Central"
"Lilongwe","Lilongwe","Central"
"Mchinji","Mchinji","Central"
"Nkhotakota","Nkhotakota","Central"
"Ntcheu","Ntcheu","Central"
"Ntchisi","Ntchisi","Central"
"Salima","Salima","Central"
"Mzimba North","Mzimba North","Northern"
"Mzimba South","Mzimba South","Northern"
"Rumphi","Rumphi","Northern"
"Balaka","Balaka","Southern"
"Blantyre","Blantyre","Southern"
"Mangochi","Mangochi","Southern"
"Thyolo","Thyolo","Southern"
"Zomba","Zomba","Southern"
